Kriterium;Region;Anbieter;Score;Begründung;Quellen
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;AWS;5;AWS bietet mit Amazon Kinesis (Data Streams, Firehose), Amazon MSK (Managed Kafka), AWS IoT Core und Amazon EventBridge ein best-in-class Ökosystem für Echtzeit-Ingestion. Kinesis Data Streams unterstützt Sub-Sekunden-Latenz und skaliert auf Millionen Events/s. MSK bietet vollständig verwaltetes Apache Kafka. IoT Core unterstützt MQTT, HTTPS und WebSocket. EventBridge ermöglicht event-driven Architekturen mit über 200 Integrationen. CDC wird über AWS DMS mit kontinuierlicher Replikation abgedeckt.;"https://aws.amazon.com/kinesis/; https://aws.amazon.com/msk/; https://aws.amazon.com/iot-core/; https://aws.amazon.com/eventbridge/"
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;Azure;5;Azure Event Hubs verarbeitet Millionen Events/s mit Sub-Sekunden-Latenz und ist Kafka-protokollkompatibel. Azure IoT Hub unterstützt MQTT, AMQP und HTTPS für IoT-Geräte. Azure Stream Analytics bietet serverlose Echtzeit-Verarbeitung. CDC wird über Azure Data Factory Change Data Capture bzw. Debezium auf Event Hubs unterstützt. Event Grid ermöglicht reaktive Architekturen.;"https://azure.microsoft.com/en-us/products/event-hubs/; https://azure.microsoft.com/en-us/products/iot-hub/; https://learn.microsoft.com/en-us/azure/stream-analytics/"
Echtzeit-Datenaufnahme (Real-Time Ingestion);USA;Google Cloud;4;Google Cloud Pub/Sub bietet globale, serverlose Echtzeit-Messaging-Infrastruktur mit Sub-Sekunden-Latenz und automatischer Skalierung. Dataflow (Apache Beam) vereinheitlicht Stream- und Batch-Verarbeitung. Datastream bietet managed CDC für Oracle, MySQL, PostgreSQL. JEDOCH: Google IoT Core wurde im Juli 2023 eingestellt und hinterlässt eine signifikante Lücke im IoT-Ingestion-Bereich, die nur durch Partner-Lösungen (z.B. ClearBlade) gefüllt werden kann. Im Vergleich zu AWS (IoT Core mit MQTT/WebSocket) und Azure (IoT Hub mit MQTT/AMQP) fehlt damit eine native IoT-Komponente. Pub/Sub allein kompensiert das nicht vollständig, da Device-Management und Protokoll-Translation fehlen. Score 4 statt 5, da das Gesamtpaket trotz Pub/Sub-Stärke eine Lücke aufweist, die AWS und Azure nicht haben.;"https://cloud.google.com/pubsub; https://cloud.google.com/dataflow; https://cloud.google.com/datastream"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;STACKIT;2;STACKIT bietet keinen nativen Managed-Streaming-Dienst (kein Managed Kafka, kein Event Hub). Echtzeit-Ingestion ist nur über Self-Hosting auf STACKIT Kubernetes Engine (SKE) oder VMs möglich (z.B. selbst betriebenes Kafka/Redpanda). Der STACKIT Marketplace bietet einige Partner-Lösungen, aber keinen standardisierten Pfad für Real-Time Ingestion. Kein dedizierter IoT- oder CDC-Service vorhanden.;"https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;IONOS;2;IONOS bietet einen 'Data Streaming'-Dienst (Managed Kafka) an, der jedoch im Funktionsumfang begrenzt ist und kein breites Ökosystem für IoT-Protokolle oder CDC bietet. Die Big-Data-Plattform erlaubt Echtzeit-Verarbeitung auf IaaS-Ebene, aber es fehlen serverlose, vollintegrierte Streaming-Dienste. Kein nativer IoT-Hub oder CDC-Service. Hauptsächlich IaaS-basierter Eigenbau nötig.;"https://cloud.ionos.de/loesungen/big-data; https://cloud.ionos.com/prices"
Echtzeit-Datenaufnahme (Real-Time Ingestion);DE;Open Telekom Cloud (OTC);3;OTC bietet den Distributed Message Service (DMS) mit vollständig verwaltetem Apache Kafka sowie einen dedizierten Data Ingestion Service (DIS) für Echtzeit-Streaming. DIS unterstützt das Einlesen von Datenströmen und Weiterleitung an OBS/DLI. DCS (Distributed Cache Service) kann als In-Memory-Layer für Sub-Millisekunden-Latenz kombiniert werden. Allerdings fehlen breite IoT-Protokollunterstützung (kein MQTT-Hub) und ein nativer CDC-Service. Gesamtangebot solide aber nicht auf Hyperscaler-Niveau.;"https://www.open-telekom-cloud.com/en/products-services/core-services/distributed-message-service; https://open-telekom-cloud.com/de/produkte-services/core-services/data-ingestion-service; https://www.open-telekom-cloud.com/de/produkte-services/core-services/distributed-cache-service"
Batch-Ingestion & ETL/ELT;USA;AWS;5;AWS Glue ist der de-facto Standard für serverlose ETL/ELT in der Cloud mit nativem Spark, über 100 vorgefertigten Konnektoren (JDBC, SaaS, SAP, Salesforce etc.), Glue DataBrew für No-Code-Transformationen und integriertem Data Catalog. AWS DMS ermöglicht Datenbank-Migrationen im Batch. S3 als universeller Staging-Layer. Step Functions orchestrieren komplexe Batch-Pipelines. Glue unterstützt Python/Scala/Spark nativ.;"https://aws.amazon.com/glue/; https://aws.amazon.com/dms/; https://docs.aws.amazon.com/glue/latest/dg/aws-glue-programming-etl-connect.html"
Batch-Ingestion & ETL/ELT;USA;Azure;5;Azure Data Factory (ADF) bietet 100+ Konnektoren inkl. SAP, Salesforce, Oracle, Dynamics 365 und On-Premises-Systeme via Self-Hosted Integration Runtime. ADF unterstützt ETL und ELT nativ mit Mapping Data Flows (Spark-basiert). Integration mit Azure Synapse Analytics für ELT direkt im Data Warehouse. Copy Activity ermöglicht Batch-Kopien in Petabyte-Skala. Power Query-Integration für Citizen-Developer.;"https://azure.microsoft.com/en-us/products/data-factory/; https://learn.microsoft.com/en-us/azure/data-factory/connector-overview; https://learn.microsoft.com/en-us/azure/data-factory/concepts-data-flow-overview"
Batch-Ingestion & ETL/ELT;USA;Google Cloud;5;Google Cloud Dataflow (Apache Beam) vereinheitlicht Batch und Stream. Cloud Data Fusion (basierend auf CDAP) bietet eine visuelle ETL/ELT-Plattform mit 200+ Konnektoren inkl. SAP, Salesforce, JDBC. Dataproc (Managed Spark/Hadoop) für große Batch-Workloads. BigQuery unterstützt natives ELT mit SQL direkt im Warehouse. Cloud Composer (Managed Airflow) orchestriert Pipelines.;"https://cloud.google.com/dataflow; https://cloud.google.com/data-fusion; https://cloud.google.com/dataproc; https://cloud.google.com/bigquery"
Batch-Ingestion & ETL/ELT;DE;STACKIT;2;STACKIT bietet keinen Managed-ETL/ELT-Dienst (kein Äquivalent zu AWS Glue oder Azure Data Factory). Allerdings stellt die STACKIT Kubernetes Engine (SKE) eine solide Plattform bereit, auf der Apache Spark, dbt, Airflow oder andere ETL-Tools self-hosted werden können. S3-kompatibler Object Storage ermöglicht grundlegende Batch-Datenverarbeitung. Im Vergleich zu IONOS (Score 2), das ebenfalls keinen dedizierten ETL-Dienst hat aber eine Big-Data-Plattform mit Hadoop/Spark anbietet, ist STACKIT minimal schwächer (kein Managed Spark), aber die K8s-Basis ermöglicht dennoch funktionale Batch-Pipelines. Score 2 statt 1, da die Infrastruktur-Grundlage (K8s + S3) mehr bietet als 'quasi nicht existent' (Score 1). OTC mit Score 3 bleibt korrekt darüber, da ModelArts und DLI native Dienste für Batch-Verarbeitung bieten.;"https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/"
Batch-Ingestion & ETL/ELT;DE;IONOS;2;IONOS bietet keine nativen Managed-ETL-Dienste, ermöglicht aber über die Big-Data-Plattform (Managed Hadoop/Spark-Cluster) grundlegende Batch-Verarbeitung. Partner wie b.telligent bieten auf IONOS-Infrastruktur Datenplattform-Lösungen an. Es fehlen vorgefertigte Enterprise-Konnektoren (SAP, Salesforce etc.) als Plattform-Feature. Batch-Ingestion über S3-kompatiblen Object Storage möglich, aber ETL-Tooling muss selbst bereitgestellt werden.;"https://cloud.ionos.de/loesungen/big-data; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit; https://cloud.ionos.com/storage/object-storage"
Batch-Ingestion & ETL/ELT;DE;Open Telekom Cloud (OTC);3;OTC bietet den Cloud Data Migration Service (CDM) für Batch-Datentransfer zwischen verschiedenen Datenquellen mit vorgefertigten Konnektoren. MapReduce Service (MRS) ermöglicht Managed Hadoop/Spark für große Batch-Workloads. Data Lake Insight (DLI) bietet serverloses SQL für Batch-Analysen. Allerdings ist das Konnektoren-Ökosystem kleiner als bei Hyperscalern und es fehlt ein visueller ETL-Designer auf Hyperscaler-Niveau. Insgesamt eine solide Referenzarchitektur, aber kein Kernprodukt-Level.;"https://www.open-telekom-cloud.com/de/produkte-services; https://senacor.blog/verprobung-open-telekom-cloud-die-speerspitze-der-eu-cloudanbieter/"
Konnektoren-Ökosystem & Marketplace;USA;AWS;5;"AWS Glue bietet 100+ native Konnektoren (JDBC, SaaS, SAP, Salesforce, MongoDB, etc.) plus einen Glue Connector Marketplace mit 60+ Community-/Partner-Konnektoren. AWS IoT Core unterstützt MQTT nativ; IoT SiteWise und IoT Greengrass bieten OPC-UA-Support für industrielle Protokolle. AppFlow liefert 80+ No-Code-SaaS-Konnektoren. Custom Connectors über Glue Custom Connector API (Spark-basiert). Größtes Ökosystem aller Anbieter.";"https://aws.amazon.com/glue/; https://aws.amazon.com/blogs/big-data/part-1-integrate-apache-hudi-delta-lake-apache-iceberg-datasets-at-scale-aws-glue-studio-notebook/; https://aws.amazon.com/iot-sitewise/"
Konnektoren-Ökosystem & Marketplace;USA;Azure;5;"Azure Data Factory bietet 100+ native Konnektoren inkl. SAP ECC/BW, Salesforce, Oracle, Dynamics 365, OData, REST und On-Premises via Self-Hosted Integration Runtime. Azure IoT Hub unterstützt MQTT und AMQP nativ; Azure IoT Edge + OPC Publisher ermöglichen OPC-UA-Anbindung. Power Platform Connectors (1000+) erweitern das Ökosystem. Custom Connectors über ADF SDK und Logic Apps. Marketplace mit umfangreichen ISV-Integrationen.";"https://learn.microsoft.com/en-us/azure/data-factory/connector-overview; https://azure.microsoft.com/en-us/products/iot-hub/; https://learn.microsoft.com/en-us/azure/industrial-iot/overview-what-is-industrial-iot"
Konnektoren-Ökosystem & Marketplace;USA;Google Cloud;5;Cloud Data Fusion (CDAP-basiert) bietet 200+ vorgefertigte Konnektoren inkl. SAP, Salesforce, JDBC, Mainframe. BigQuery hat native Konnektoren über Federation (BigLake, Omni). Application Integration und Apigee ermöglichen API-basierte Anbindung. Pub/Sub unterstützt MQTT-Bridge. Für OPC-UA gibt es Partner-Lösungen (z.B. Litmus, Telit). CDAP Hub dient als Community-Connector-Marketplace. Custom Connectors über CDAP Plugin SDK.;"https://cloud.google.com/data-fusion; https://cloud.google.com/bigquery; https://cdap.io/"
Konnektoren-Ökosystem & Marketplace;DE;STACKIT;1;STACKIT verfügt über einen Marketplace (marketplace.stackit.cloud), der primär Infrastruktur-Add-ons (Datenbanken, Monitoring, Security) bietet, aber keine Datenkonnektoren zu Enterprise-Systemen (SAP, Salesforce, CRM, MES). Kein nativer ETL-Dienst bedeutet auch kein Konnektor-Ökosystem. Industrielle Protokolle (MQTT, OPC-UA) müssen vollständig selbst implementiert werden (z.B. via Mosquitto/Kepware auf VMs). Custom Connectors nur über Eigenentwicklung.;"https://marketplace.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/"
Konnektoren-Ökosystem & Marketplace;DE;IONOS;2;IONOS bietet über die Big-Data-Plattform Apache NiFi (300+ Prozessoren/Konnektoren im Open-Source-Umfang) und Kafka Connect als Middleware. Allerdings sind dies generische Open-Source-Tools ohne IONOS-spezifische Enterprise-Konnektoren. Kein eigener Connector-Marketplace. Industrielle Protokolle nur über Self-Hosted-Lösungen. Partner wie b.telligent bieten individuelle Integrationen. Das Ökosystem ist funktional via Open Source nutzbar, aber nicht kuratiert oder als Plattform-Feature verpackt.;"https://cloud.ionos.de/loesungen/big-data; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Konnektoren-Ökosystem & Marketplace;DE;Open Telekom Cloud (OTC);2;"OTC bietet den Cloud Data Migration Service (CDM) mit Konnektoren für gängige Datenbanken, OBS und DWS, aber das Ökosystem ist auf Kernquellen beschränkt (keine SAP/Salesforce-nativen Konnektoren). Der OTC Marketplace bietet primär ISV-Software (Security, Backup), keine dedizierten Datenkonnektoren. DMS (Kafka) ermöglicht Kafka Connect, aber als Self-Managed. Für MQTT/OPC-UA kein nativer Support; industrielle Integration nur über Eigenimplementierung auf ECS.";"https://marketplace.otc.t-systems.com/; https://www.open-telekom-cloud.com/de/produkte-services; https://xomnia.com/post/navigating-the-european-cloud-landscape-open-telekom-cloud-stackit-and-ovhcloud-in-focus/"
Data-Lakehouse-Architektur;USA;AWS;5;AWS bietet nativen First-Party-Support für Apache Iceberg, Delta Lake und Apache Hudi über Glue, EMR, Athena und Redshift Spectrum. AWS Glue Data Catalog dient als zentraler Metastore mit Iceberg-Support. Lake Formation ermöglicht feingranulare Governance. S3 Tables (2024/25 eingeführt) bietet managed Iceberg-Tabellen. Schema-Evolution und Time-Travel sind über alle drei Formate nativ unterstützt. AWS hat sich als Iceberg-first positioniert.;"https://aws.amazon.com/blogs/big-data/part-1-getting-started-introducing-native-support-for-apache-hudi-delta-lake-and-apache-iceberg-on-aws-glue-for-apache-spark/; https://aws.amazon.com/s3/features/tables/; https://aws.amazon.com/lake-formation/"
Data-Lakehouse-Architektur;USA;Azure;5;Microsoft Fabric vereint OneLake (Delta-Lake-basiert) als einheitliche Lakehouse-Plattform. Delta Lake ist das native Format in Synapse Analytics, Fabric und Databricks on Azure. Iceberg-Support wurde 2024/25 in Fabric ergänzt (Iceberg-Shortcuts). Schema-Evolution und Time-Travel nativ über Delta Lake. OneLake bietet automatische Optimierung (V-Order, Z-Order). Stärkstes Delta-Lake-Ökosystem durch Databricks-Partnerschaft.;"https://learn.microsoft.com/en-us/fabric/; https://learn.microsoft.com/en-us/fabric/onelake/onelake-overview; https://delta.io/"
Data-Lakehouse-Architektur;USA;Google Cloud;4;BigQuery unterstützt seit 2023 Apache Iceberg über BigLake-Tabellen und erlaubt damit Interoperabilität mit offenen Formaten. Dataproc ermöglicht Spark-basierte Lakehouse-Workloads mit Delta Lake und Iceberg. JEDOCH: BigQuery unterstützt Apache Hudi nicht nativ, und Delta Lake ist nur über Dataproc (Managed Spark) nutzbar, nicht direkt in BigQuery. Im Vergleich zu AWS (S3 + Glue mit nativer Iceberg/Hudi/Delta-Unterstützung, plus EMR mit vollständiger Lakehouse-Integration) und Azure (OneLake in Microsoft Fabric mit nativem Delta Lake, plus Synapse mit Iceberg-Support) fehlt Google die Breite der Format-Unterstützung. BigQuery bleibt primär ein proprietäres System mit Iceberg als Brücke, während AWS/Azure tiefere native Open-Format-Integration bieten. Score 4 statt 5.;"https://cloud.google.com/bigquery; https://cloud.google.com/bigquery/docs/iceberg-tables; https://cloud.google.com/biglake"
Data-Lakehouse-Architektur;DE;STACKIT;1;STACKIT bietet keinen Managed-Lakehouse-Dienst und keine native Unterstützung für Delta Lake, Iceberg oder Hudi. Object Storage (S3-kompatibel) kann als Storage-Layer dienen, aber es gibt keinen Managed Spark/Trino/Presto-Dienst, der Lakehouse-Formate nativ verarbeitet. Schema-Evolution und Time-Travel müssten komplett selbst auf Kubernetes implementiert werden (z.B. Spark + Iceberg auf SKE). Kein Data Catalog vorhanden.;"https://docs.stackit.cloud/; https://www.stackit.de/en/cloud/products-services/; https://xomnia.com/post/navigating-the-european-cloud-landscape-open-telekom-cloud-stackit-and-ovhcloud-in-focus/"
Data-Lakehouse-Architektur;DE;IONOS;2;IONOS bietet über die Big-Data-Plattform Managed Hadoop/Spark, womit Iceberg/Delta/Hudi technisch auf IaaS-Ebene nutzbar sind. Allerdings gibt es keine native Lakehouse-Integration, keinen Managed Catalog und keine out-of-the-box Unterstützung für offene Tabellenformate. Der S3-kompatible Object Storage kann als Storage-Layer dienen. Schema-Evolution und Time-Travel nur über manuelles Spark-Setup. Kein dedizierter Lakehouse-Service.;"https://cloud.ionos.de/loesungen/big-data; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Data-Lakehouse-Architektur;DE;Open Telekom Cloud (OTC);2;OTC bietet den MapReduce Service (MRS) mit Managed Spark/Hadoop, worüber Iceberg/Delta/Hudi technisch nutzbar sind. Data Lake Insight (DLI) ermöglicht serverloses SQL über OBS-Daten. Allerdings gibt es keinen nativen Lakehouse-Service, keinen Iceberg/Delta-nativen Catalog und keine integrierte Schema-Evolution/Time-Travel-Funktionalität als Plattform-Feature. Die Architektur ist möglich aber erfordert erheblichen DIY-Aufwand. Kein vergleichbares Produkt zu BigLake, Fabric oder Lake Formation.;"https://www.open-telekom-cloud.com/de/produkte-services; https://senacor.blog/verprobung-open-telekom-cloud-die-speerspitze-der-eu-cloudanbieter/; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Datenformat-Flexibilität;USA;AWS;5;AWS S3 speichert beliebige Formate (strukturiert, semi-strukturiert, unstrukturiert) formatagnostisch. Athena und Redshift Spectrum unterstützen Schema-on-Read über Parquet, Avro, JSON, ORC, CSV nativ. Glue Data Catalog ermöglicht automatische Schema-Erkennung (Crawler). Glue ETL bietet Format-Konvertierung (z.B. JSON→Parquet). Amazon Rekognition (Bilder/Video), Transcribe (Audio) und Textract (Dokumente) verarbeiten unstrukturierte Daten nativ. Comprehend für NLP auf Textdaten. Umfassendstes Ökosystem für alle Datentypen.;"https://aws.amazon.com/s3/; https://aws.amazon.com/athena/; https://aws.amazon.com/glue/"
Datenformat-Flexibilität;USA;Azure;5;Azure Blob Storage speichert beliebige Datenformate. Azure Synapse Analytics und Fabric unterstützen Schema-on-Read für Parquet, Delta, JSON, CSV, Avro über Serverless SQL Pools. Azure Data Factory bietet automatische Schema-Erkennung und Format-Konvertierung. Cognitive Services (Computer Vision, Speech-to-Text, Language) verarbeiten unstrukturierte Daten. Azure AI Document Intelligence für Dokument-Extraktion. Purview für automatische Klassifizierung und Schema-Discovery.;"https://azure.microsoft.com/en-us/products/storage/blobs/; https://learn.microsoft.com/en-us/azure/synapse-analytics/; https://azure.microsoft.com/en-us/products/ai-services/"
Datenformat-Flexibilität;USA;Google Cloud;5;Google Cloud Storage speichert beliebige Datenformate. BigQuery unterstützt Schema-on-Read über externe Tabellen (JSON, Parquet, Avro, ORC, CSV) und hat native JSON-Spaltentypen. Dataflow (Beam) verarbeitet und konvertiert alle Formate. Vertex AI Vision, Speech-to-Text und Document AI verarbeiten unstrukturierte Daten nativ. BigQuery ML ermöglicht Inferenz direkt auf strukturierten Daten. Automatische Schema-Erkennung in Data Fusion und BigQuery.;"https://cloud.google.com/storage; https://cloud.google.com/bigquery; https://cloud.google.com/document-ai"
Datenformat-Flexibilität;DE;STACKIT;3;STACKIT Object Storage (S3-kompatibel) speichert beliebige Datenformate formatagnostisch – strukturiert, semi-strukturiert und unstrukturiert inkl. Bilder, Video, Logs. Es fehlen jedoch Managed-Analytics-Dienste für Schema-on-Read (kein Athena/Synapse-Äquivalent). Keine automatische Schema-Erkennung oder Format-Konvertierung als Plattform-Feature. Keine nativen KI-Dienste für unstrukturierte Datenverarbeitung (Bild/Audio/Video-Analyse). Storage-seitig flexibel, aber Verarbeitungsseite ist Eigenbau.;"https://docs.stackit.cloud/products/storage/object-storage/; https://www.stackit.de/en/product/object-storage/; https://innfactory.de/en/cloud/stackit/products/object-storage/"
Datenformat-Flexibilität;DE;IONOS;3;IONOS S3 Object Storage speichert beliebige Formate. Über die Big-Data-Plattform (Hadoop/Spark) ist Schema-on-Read für Parquet, JSON, Avro etc. möglich. Apache Druid ermöglicht semi-strukturierte Datenanalyse. Allerdings keine Managed-Serverless-Query-Engine (kein Athena-Äquivalent), keine automatische Schema-Erkennung als Plattform-Feature und keine nativen KI-Dienste für unstrukturierte Daten. Funktional über Open-Source-Stack nutzbar, aber ohne Plattform-Integration.;"https://cloud.ionos.de/loesungen/big-data; https://cloud.ionos.com/storage/object-storage"
Datenformat-Flexibilität;DE;Open Telekom Cloud (OTC);3;OTC Object Storage Service (OBS) speichert beliebige Datenformate. MapReduce Service (MRS) mit Spark ermöglicht Schema-on-Read über Parquet, JSON, ORC, CSV. Data Lake Insight (DLI) bietet serverloses SQL über OBS-Daten in verschiedenen Formaten. Allerdings fehlen native KI-Dienste für unstrukturierte Datenverarbeitung (Bild/Audio/Video), keine automatische Format-Konvertierung als Plattform-Feature und eingeschränkte Schema-Discovery. Solider Mittelweg zwischen IaaS und Managed Services.;"https://www.open-telekom-cloud.com/de/produkte-services/object-storage-service; https://www.open-telekom-cloud.com/de/produkte-services"
Storage-Tiering & Lifecycle-Management;USA;AWS;5;AWS S3 bietet 7 Storage-Klassen (Standard, Intelligent-Tiering, Standard-IA, One Zone-IA, Glacier Instant Retrieval, Glacier Flexible Retrieval, Glacier Deep Archive). S3 Intelligent-Tiering verschiebt Objekte automatisch zwischen Tiers basierend auf Zugriffsmustern – ohne Abrufgebühren oder Latenznachteile. Lifecycle Policies ermöglichen regelbasierte Übergänge und automatische Löschung. Industriestandard für Storage-Tiering mit dem breitesten Tier-Spektrum aller Anbieter.;"https://aws.amazon.com/s3/storage-classes/; https://docs.aws.amazon.com/AmazonS3/latest/userguide/lifecycle-transition-general-considerations.html; https://aws.amazon.com/s3/storage-classes/intelligent-tiering/"
Storage-Tiering & Lifecycle-Management;USA;Azure;5;Azure Blob Storage bietet Hot, Cool, Cold und Archive Tiers. Lifecycle Management Policies automatisieren Tier-Übergänge regelbasiert (nach Alter, letztem Zugriff). Azure Smart Tiering (vergleichbar mit S3 Intelligent-Tiering) wurde ergänzt. Blob-Level-Tiering ermöglicht individuelle Tier-Zuweisung pro Objekt. Archive Tier bietet kostengünstigste Langzeitarchivierung. Vollständig integriert mit Azure Storage Explorer und Policies.;"https://learn.microsoft.com/en-us/azure/storage/blobs/access-tiers-overview; https://learn.microsoft.com/en-us/azure/storage/blobs/lifecycle-management-overview; https://azure.microsoft.com/en-us/products/storage/blobs/"
Storage-Tiering & Lifecycle-Management;USA;Google Cloud;5;Google Cloud Storage bietet Standard, Nearline, Coldline und Archive Klassen. Object Lifecycle Management Rules automatisieren Übergänge basierend auf Alter, Erstellungsdatum und Bedingungen. Autoclass (automatisches Tiering) verschiebt Objekte automatisch zwischen Klassen basierend auf Zugriffsmustern – vergleichbar mit S3 Intelligent-Tiering. Einheitliche API über alle Klassen hinweg. Kein Abruf-Latenz-Unterschied zwischen Standard/Nearline (nur Preisunterschiede).;"https://cloud.google.com/storage/docs/storage-classes; https://cloud.google.com/storage/docs/lifecycle; https://cloud.google.com/storage/docs/autoclass"
Storage-Tiering & Lifecycle-Management;DE;STACKIT;2;STACKIT Object Storage ist S3-kompatibel, bietet jedoch keine dokumentierten Storage-Klassen oder automatisches Tiering. Es gibt eine einheitliche Storage-Klasse ohne Hot/Warm/Cold-Differenzierung. Lifecycle-Regeln zur automatischen Löschung (Expiration) sind über die S3-API möglich, aber kein automatischer Tier-Übergang. Keine Archiv-Klasse verfügbar. Für Kostenoptimierung durch Tiering ist ein Wechsel zu einem anderen Anbieter oder manuelle Datenmigration nötig.;"https://docs.stackit.cloud/products/storage/object-storage/; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
Storage-Tiering & Lifecycle-Management;DE;IONOS;2;IONOS S3 Object Storage bietet grundlegendes Lifecycle-Management über die S3-API (Expiration Rules). Allerdings sind keine differenzierten Storage-Klassen (Hot/Cold/Archive) dokumentiert. Es existiert ein einheitlicher Preis pro GB ohne automatisches Tiering. Für Archivierung wird IONOS Backup/Archive als separater Dienst angeboten, aber nicht als integriertes Storage-Tiering innerhalb von Object Storage. Manueller Prozess für Kostenstufung erforderlich.;"https://cloud.ionos.com/storage/object-storage; https://explore.iteratec.com/blog/eu-sovereign-cloud-teil-2-cloud-services-in-der-praxis-featureumfang-und-portierbarkeit"
